symbol,name,sector
AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,Other
AVTUR.IS,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,Other
AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,Other
AYDEM.IS,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,Other
AYEN.IS,AYEN ENERJİ A.Ş.,Other
AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,Other
AYGAZ.IS,AYGAZ A.Ş.,Other
AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,Other
BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,Other
BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,Other
BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,Other
BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,Other
BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,Other
BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other
BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,Other
BERA.IS,BERA HOLDİNG A.Ş.,Other
BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.,Other
BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,Other
BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,Other
BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,Other
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,Other
BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,Other
BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,Other
BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,Other
BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,Other
BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,Other
BNTAS.IS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,Other
BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,Other
BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,Other
BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,Other
BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,Other
BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,Other
BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.,Other
BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,Other
BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,Other
BRSAN.IS,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,Other
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,Other
BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,Other
BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,Other
BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.,Other
BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,Other
BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,Other
BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,Other
BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.,Other
CANTE.IS,ÇAN2 TERMİK A.Ş.,Other
CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,Other
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,Other
CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,Other
CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,Other
CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,Other
CEOEM.IS,CEO EVENT MEDYA A.Ş.,Other
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other
CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.,Other
CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,Other
CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,Other
CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,Other
COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.,Other
CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.,Other
CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,Other
CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,Other
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,Other
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,Other
DAGHL.IS,DAGİ YATIRIM HOLDİNG A.Ş.,Other
DAGI.IS,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,Other
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,Other
DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,Other
DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.,Other
DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.,Other
DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,Other
DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.,Other
DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,Other
DEVA.IS,DEVA HOLDİNG A.Ş.,Other
DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,Other
DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,Other
DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,Other
DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,Other
DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,Other
DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,Other
DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,Other
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,Other
DOBUR.IS,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,Other
DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,Other
DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,Other
DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,Other
DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,Other
DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,Other
DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.,Other
