symbol,name,sector,status,observations,median_daily_turnover
KZBGY.IS,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1254,112903568.54100253
KATMR.IS,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,112539378.03291464
TUKAS.IS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,111078525.23949908
GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.,Other,PASS,1503,108692987.6139412
ISGYO.IS,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,107995119.12938832
TTRAK.IS,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,Other,PASS,1502,106419413.08920288
FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,596,104741788.524827
ALBRK.IS,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,Other,PASS,1502,104570334.24731793
PEKGY.IS,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,104069981.02769876
MAGEN.IS,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,Other,PASS,1198,102882686.94683076
ISMEN.IS,İŞ YATIRIM MENKUL DEĞERLER A.Ş.,Other,PASS,1502,102787674.39531088
GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,Other,PASS,857,102637486.29973984
BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,Other,PASS,809,100858831.16869926
ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.,Other,PASS,1503,96934136.2536797
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1258,96588773.46011011
TMSN.IS,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,Other,PASS,1502,94790544.68750572
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,Other,PASS,1502,93663809.4169922
